,track_id
0,2
1,3
2,5
3,10
4,20
5,26
6,30
7,46
8,48
9,134
10,135
11,136
12,137
13,138
14,139
15,140
16,141
17,142
18,144
19,145
20,146
21,147
22,148
23,149
24,150
25,151
26,152
27,153
28,154
29,155
30,156
31,157
32,158
33,159
34,160
35,161
36,162
37,163
38,164
39,165
40,166
41,167
42,168
43,169
44,170
45,171
46,172
47,173
48,174
49,175
50,176
51,177
52,178
53,179
54,181
55,182
56,183
57,184
58,185
59,188
60,189
61,190
62,191
63,192
64,193
65,194
66,195
67,196
68,197
69,198
70,199
71,200
72,201
73,202
74,203
75,204
76,205
77,206
78,207
79,208
80,209
81,210
82,211
83,212
84,213
85,226
86,228
87,236
88,237
89,238
90,246
91,247
92,248
93,249
94,250
95,251
96,252
97,253
98,254
99,255
100,256
101,257
102,258
103,273
104,274
105,275
106,276
107,277
108,281
109,282
110,284
111,285
112,293
113,294
114,297
115,300
116,303
117,304
118,305
119,306
120,307
121,308
122,309
123,310
124,311
125,312
126,313
127,314
128,315
129,316
130,317
131,318
132,319
133,320
134,321
135,322
136,323
137,324
138,325
139,326
140,327
141,328
142,330
143,331
144,332
145,333
146,334
147,335
148,336
149,337
150,338
151,339
152,340
153,341
154,342
155,343
156,344
157,345
158,346
159,347
160,348
161,349
162,350
163,351
164,352
165,353
166,354
167,355
168,356
169,357
170,358
171,359
172,360
173,361
174,362
175,363
176,364
177,365
178,366
179,367
180,368
181,369
182,370
183,371
184,384
185,385
186,386
187,387
188,393
189,394
190,395
191,396
192,397
193,398
194,399
195,400
196,401
197,402
198,403
199,404
200,405
201,406
202,407
203,408
204,410
205,411
206,412
207,414
208,416
209,417
210,418
211,419
212,420
213,421
214,422
215,423
216,424
217,425
218,426
219,427
220,428
221,429
222,430
223,431
224,432
225,433
226,434
227,435
228,436
229,437
230,438
231,439
232,440
233,441
234,442
235,443
236,444
237,445
238,446
239,447
240,448
241,449
242,450
243,451
244,452
245,458
246,459
247,461
248,462
249,463
250,464
251,465
252,466
253,467
254,468
255,469
256,470
257,471
258,472
259,473
260,474
261,475
262,476
263,477
264,478
265,479
266,480
267,481
268,482
269,483
270,484
271,485
272,486
273,487
274,489
275,490
276,491
277,492
278,493
279,495
280,496
281,497
282,498
283,500
284,501
285,502
286,503
287,504
288,506
289,507
290,508
291,509
292,510
293,511
294,512
295,513
296,514
297,515
298,516
299,517
300,520
301,521
302,522
303,523
304,524
305,525
306,526
307,527
308,528
309,529
310,530
311,531
312,532
313,533
314,534
315,535
316,536
317,537
318,538
319,539
320,540
321,541
322,542
323,543
324,544
325,545
326,546
327,547
328,548
329,549
330,550
331,554
332,555
333,556
334,557
335,558
336,559
337,560
338,561
339,562
340,563
341,564
342,565
343,566
344,567
345,568
346,569
347,570
348,571
349,572
350,573
351,574
352,575
353,576
354,577
355,578
356,579
357,580
358,583
359,584
360,585
361,586
362,587
363,588
364,589
365,590
366,591
367,592
368,593
369,601
370,602
371,603
372,604
373,605
374,606
375,607
376,608
377,609
378,610
379,611
380,612
381,613
382,614
383,615
384,616
385,617
386,618
387,619
388,620
389,621
390,622
391,623
392,624
393,625
394,626
395,627
396,628
397,629
398,630
399,631
400,633
401,634
402,635
403,637
404,638
405,639
406,640
407,641
408,642
409,643
410,644
411,645
412,646
413,647
414,648
415,649
416,650
417,651
418,652
419,653
420,654
421,655
422,656
423,657
424,658
425,659
426,660
427,661
428,662
429,663
430,664
431,665
432,666
433,667
434,668
435,669
436,670
437,671
438,672
439,673
440,674
441,675
442,676
443,677
444,678
445,679
446,680
447,681
448,682
449,683
450,684
451,685
452,686
453,687
454,688
455,689
456,690
457,691
458,692
459,693
460,694
461,695
462,696
463,697
464,698
465,699
466,700
467,701
468,702
469,703
470,704
471,705
472,706
473,707
474,708
475,709
476,711
477,712
478,713
479,714
480,715
481,716
482,717
483,718
484,719
485,720
486,721
487,722
488,723
489,725
490,726
491,727
492,728
493,729
494,730
495,731
496,734
497,735
498,736
499,737
500,738
501,739
502,740
503,741
504,742
505,743
506,744
507,745
508,747
509,748
510,749
511,750
512,751
513,752
514,753
515,754
516,755
517,756
518,757
519,758
520,759
521,760
522,761
523,762
524,763
525,764
526,765
527,766
528,767
529,768
530,769
531,770
532,771
533,772
534,773
535,774
536,775
537,776
538,777
539,778
540,779
541,780
542,781
543,782
544,783
545,784
546,785
547,786
548,787
549,788
550,789
551,790
552,791
553,792
554,793
555,794
556,795
557,796
558,797
559,798
560,799
561,800
562,801
563,803
564,804
565,805
566,806
567,807
568,814
569,815
570,816
571,817
572,818
573,819
574,820
575,821
576,822
577,823
578,824
579,825
580,826
581,827
582,828
583,829
